S. No,Zone. No,Div.No,UPHC Name,UPHC  Address
57,7,81,Venkatapuram   ,"South Park Street, Ch-53"
58,7,83,Korattur   ,"No. 32, Tnhb Street,32Nd, Pakthavatchalam School Back Side, Korattur Ambattur, Ch - 50"
59,7,85,Varadharajapuram   ,"No.3, Station Road, Varadharajapuram, Ambattur, Ch-50,"
60,7,86,Athipet   ,"Chinna Colony, Athipet,Ambattur, Ch- 53."
61,7,89,Padi Round Building  ,"Tvs Avenue Main Road,Near Ch Public School, Ch-101"
62,7,91,Mugappair (W)  ,"Kalamegam Salai,Mugappair W,Ch- 37"
63,7,93,Mugappair (E)  ,"Veeramamunivar Street, Mugappair, Ch-37"
64,8,94,Rajamangalam,"36, Rajamangalam Ist Main Rd, Villivakkam, Ch-49"
65,8,95,Agathiyar Nagar,"No.1, Venugopal St, Villiwakkam, Ch-49"
66,8,95,Villiwakkam ,"Manndy St, East Mada St, Villiwakkam,     Ch-49"
67,8,96,N.A.South,"1,Officer'S Colony, Ayanavaram, Ch-23"
68,8,97,Ayanvaram,"United India Nagar, Ayanavaram, Ch-23"
69,8,98,P.S.Nagar,"100, Aspiran Garden 1st street, Kilpauk,     Ch-10"
